"","Open","High","Low","Close","Volume","Adjusted","Stock","Sector","Date"
"3061",174.279999,175.149994,172.889999,174.970001,25886200,174.970001,"AAPL","Technology","2019-03-01"
"3062",175.690002,177.75,173.970001,175.850006,27436200,175.850006,"AAPL","Technology","2019-03-04"
"3063",175.940002,176,174.539993,175.529999,19737400,175.529999,"AAPL","Technology","2019-03-05"
"3064",174.669998,175.490005,173.940002,174.520004,20810400,174.520004,"AAPL","Technology","2019-03-06"
"3065",173.869995,174.440002,172.020004,172.5,24760900,172.5,"AAPL","Technology","2019-03-07"
"3066",170.320007,173.070007,169.5,172.910004,23999400,172.910004,"AAPL","Technology","2019-03-08"
"3067",175.490005,179.119995,175.350006,178.899994,32011000,178.899994,"AAPL","Technology","2019-03-11"
"3068",180,182.669998,179.369995,180.910004,32467600,180.910004,"AAPL","Technology","2019-03-12"
"3069",182.25,183.300003,180.919998,181.710007,31032500,181.710007,"AAPL","Technology","2019-03-13"
"3070",183.899994,184.100006,182.559998,183.729996,23579500,183.729996,"AAPL","Technology","2019-03-14"
"3071",184.850006,187.330002,183.740005,186.119995,39042900,186.119995,"AAPL","Technology","2019-03-15"
"3072",185.800003,188.389999,185.789993,188.020004,26219800,188.020004,"AAPL","Technology","2019-03-18"
"3073",188.350006,188.990005,185.919998,186.529999,31646400,186.529999,"AAPL","Technology","2019-03-19"
"3074",186.229996,189.490005,184.729996,188.160004,31035200,188.160004,"AAPL","Technology","2019-03-20"
"3075",190.020004,196.330002,189.809998,195.089996,51034200,195.089996,"AAPL","Technology","2019-03-21"
"3076",195.339996,197.690002,190.779999,191.050003,42407700,191.050003,"AAPL","Technology","2019-03-22"
"3077",191.509995,191.979996,186.600006,188.740005,43845300,188.740005,"AAPL","Technology","2019-03-25"
"3078",191.660004,192.880005,184.580002,186.789993,49800500,186.789993,"AAPL","Technology","2019-03-26"
"3079",188.75,189.759995,186.550003,188.470001,29848400,188.470001,"AAPL","Technology","2019-03-27"
"3080",188.949997,189.559998,187.529999,188.720001,20780400,188.720001,"AAPL","Technology","2019-03-28"
"3081",189.830002,190.080002,188.539993,189.949997,23564000,189.949997,"AAPL","Technology","2019-03-29"
"3082",191.639999,191.679993,188.380005,191.240005,27862000,191.240005,"AAPL","Technology","2019-04-01"
"3083",191.089996,194.460007,191.050003,194.020004,22765700,194.020004,"AAPL","Technology","2019-04-02"
"3084",193.25,196.5,193.149994,195.350006,23271800,195.350006,"AAPL","Technology","2019-04-03"
"3085",194.789993,196.369995,193.139999,195.690002,19114300,195.690002,"AAPL","Technology","2019-04-04"
"3086",196.449997,197.100006,195.929993,197,18526600,197,"AAPL","Technology","2019-04-05"
"3087",196.419998,200.229996,196.339996,200.100006,25881700,200.100006,"AAPL","Technology","2019-04-08"
"3088",200.320007,202.850006,199.229996,199.5,35768200,199.5,"AAPL","Technology","2019-04-09"
"3089",198.679993,200.740005,198.179993,200.619995,21695300,200.619995,"AAPL","Technology","2019-04-10"
"3090",200.850006,201,198.440002,198.949997,20900800,198.949997,"AAPL","Technology","2019-04-11"
"3091",199.199997,200.139999,196.210007,198.869995,27744300,198.869995,"AAPL","Technology","2019-04-12"
"1706",162.600006,163.130005,161.690002,162.279999,11097800,162.279999,"FB","Technology","2019-03-01"
"1707",163.899994,167.5,163.830002,167.369995,18894700,167.369995,"FB","Technology","2019-03-04"
"1708",167.369995,171.880005,166.550003,171.259995,28187900,171.259995,"FB","Technology","2019-03-05"
"1709",172.899994,173.570007,171.270004,172.509995,21531700,172.509995,"FB","Technology","2019-03-06"
"1710",171.5,171.740005,167.610001,169.130005,18205400,169.130005,"FB","Technology","2019-03-07"
"1711",166.199997,169.619995,165.970001,169.600006,13184800,169.600006,"FB","Technology","2019-03-08"
"1712",171.600006,174.300003,171.580002,172.070007,18884000,172.070007,"FB","Technology","2019-03-11"
"1713",172.089996,173.800003,171.220001,171.919998,12155300,171.919998,"FB","Technology","2019-03-12"
"1714",172.320007,174.029999,172.119995,173.369995,11973300,173.369995,"FB","Technology","2019-03-13"
"1715",169.759995,171.149994,168.160004,170.169998,18037400,170.169998,"FB","Technology","2019-03-14"
"1716",167.160004,167.580002,162.509995,165.979996,37135400,165.979996,"FB","Technology","2019-03-15"
"1717",163.570007,163.899994,159.279999,160.470001,37524200,160.470001,"FB","Technology","2019-03-18"
"1718",161.479996,163.820007,160.820007,161.570007,25611500,161.570007,"FB","Technology","2019-03-19"
"1719",161.5,166.119995,161.240005,165.440002,20211500,165.440002,"FB","Technology","2019-03-20"
"1720",164.889999,166.389999,163.75,166.080002,16223000,166.080002,"FB","Technology","2019-03-21"
"1721",165.649994,167.419998,164.089996,164.339996,16389200,164.339996,"FB","Technology","2019-03-22"
"1722",163,166.539993,162,166.289993,12631200,166.289993,"FB","Technology","2019-03-25"
"1723",167.350006,169.449997,166.350006,167.679993,15437900,167.679993,"FB","Technology","2019-03-26"
"1724",167.850006,168.940002,164.789993,165.869995,10620300,165.869995,"FB","Technology","2019-03-27"
"1725",164.570007,166.720001,163.330002,165.550003,10689200,165.550003,"FB","Technology","2019-03-28"
"1726",166.389999,167.190002,164.809998,166.690002,13455500,166.690002,"FB","Technology","2019-03-29"
"1727",167.830002,168.899994,167.279999,168.699997,10381500,168.699997,"FB","Technology","2019-04-01"
"1728",170.139999,174.899994,169.550003,174.199997,23946500,174.199997,"FB","Technology","2019-04-02"
"1729",174.5,177.960007,172.949997,173.539993,27590100,173.539993,"FB","Technology","2019-04-03"
"1730",176.020004,178,175.529999,176.020004,17847700,176.020004,"FB","Technology","2019-04-04"
"1731",176.880005,177,175.100006,175.720001,9594100,175.720001,"FB","Technology","2019-04-05"
"1732",175.210007,175.5,174.229996,174.929993,7297400,174.929993,"FB","Technology","2019-04-08"
"1733",175.619995,179.190002,175.550003,177.580002,19751000,177.580002,"FB","Technology","2019-04-09"
"1734",178.179993,178.789993,176.539993,177.820007,11701500,177.820007,"FB","Technology","2019-04-10"
"1735",178.240005,178.399994,177,177.509995,8071000,177.509995,"FB","Technology","2019-04-11"
"1736",178,179.630005,177.949997,179.100006,12325400,179.100006,"FB","Technology","2019-04-12"
"30611",1131,1150,1131,1148.52002,1704300,1148.52002,"GOOGL","Technology","2019-03-01"
"30621",1154.560059,1165.52002,1138.25,1153.420044,1774500,1153.420044,"GOOGL","Technology","2019-03-04"
"30631",1156,1176.48999,1153.02002,1169.189941,2004700,1169.189941,"GOOGL","Technology","2019-03-05"
"30641",1171.76001,1174.73999,1163.050049,1164.939941,1180100,1164.939941,"GOOGL","Technology","2019-03-06"
"30651",1160.5,1163.579956,1141.709961,1150.849976,1503600,1150.849976,"GOOGL","Technology","2019-03-07"
"30661",1133.900024,1153.449951,1130.199951,1149.969971,1184700,1149.969971,"GOOGL","Technology","2019-03-08"
